TaskNumber,Summary,Priority,RaisedByID,AssignedToID,AuthorisedByID,StatusCode,ProjectCode,ProjectBreakdownCode,Category,SubCategory,HoursEstimate,HoursActual,DeveloperID,DeveloperHoursActual,TaskPerformance,DeveloperPerformance
12880,"YouLink HR: Mini System Release - Global Salary Search",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Release",3.5,0.63,58,0.63,2.87,2.87
12881,"One day training at WKH and follow up",3,42,42,NA,"CHRONICLE","PC5","PBC29","Management","Marketing",8,7,42,7,1,1
12882,"Meeting with YYY ZZZ about Pre Registration Nursing",3,42,42,NA,"COMPLETED","PC18","PBC33","Management","Marketing",3,3.5,42,3.5,-0.5,-0.5
12883,"Extended Company lunch on Friday",3,58,42,NA,"FINISHED","PC18","PBC33","Management","Office Management",2.5,10.5,24,1.75,-8,NA
12883,"Extended Company lunch on Friday",3,58,42,NA,"FINISHED","PC18","PBC33","Management","Office Management",2.5,10.5,58,1.75,-8,NA
12883,"Extended Company lunch on Friday",3,58,42,NA,"FINISHED","PC18","PBC33","Management","Office Management",2.5,10.5,42,1.75,-8,0.75
12883,"Extended Company lunch on Friday",3,58,42,NA,"FINISHED","PC18","PBC33","Management","Office Management",2.5,10.5,13,1.75,-8,NA
12883,"Extended Company lunch on Friday",3,58,42,NA,"FINISHED","PC18","PBC33","Management","Office Management",2.5,10.5,2,1.75,-8,NA
12883,"Extended Company lunch on Friday",3,58,42,NA,"FINISHED","PC18","PBC33","Management","Office Management",2.5,10.5,53,1.75,-8,NA
12884,"Catch up with YYY ZZZ, issues with YouLinkHR",3,42,42,NA,"CHRONICLE","PC18","PBC33","Management","Project Management",99,1,42,1,98,98
12885,"Unsubscription page",5,53,53,NA,"CHRONICLE","PC5","PBC14","Development","Enhancement",1,2,2,1,-1,NA
12885,"Unsubscription page",5,53,53,NA,"CHRONICLE","PC5","PBC14","Development","Enhancement",1,2,53,1,-1,0
12886,"YouLink HR: Mini Release - Unsubscribe Component / Next Year Financial Package Review",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Release",2.5,0.43,58,0.43,2.07,2.07
12887,"Setting up YYY ZZZ and getting her up to speed.",3,42,42,NA,"CHRONICLE","PC5","PBC29","Management","Staff Management",35,7.5,42,7.5,27.5,27.5
12888,"Reviewing New HR Splash Silverlight Control",5,53,53,NA,"CHRONICLE","PC5","PBC14","Development","Enhancement",1,1,53,1,0,0
12889,"Looking into WebSiteBuilder Bug causing websites to break unexpectedly",5,53,53,NA,"CHRONICLE","PC5","PBC51","Development","Bug",10,7.5,53,7.5,2.5,2.5
12890,"Induction to YouLink HR and setting laptop",3,42,35,NA,"FINISHED","PC5","PBC14","Management","Office Management",7,7,25,7,0,NA
12891,"Potential Clients database",2,42,25,NA,"CHRONICLE","PC5","PBC14","Management","Marketing",28,11,25,11,17,17
12892,"SIP Admin Tasks",1,13,13,NA,"COMPLETED","PC18","PBC33","Management","Office Management",1,1.25,13,1.25,-0.25,-0.25
12893,"CCC networking event about Workplace Equality",3,42,42,NA,"CHRONICLE","PC5","PBC29","Management","Marketing",4,4,42,4,0,0
12894,"Management Meeting",3,42,42,NA,"COMPLETED","PC18","PBC33","Management","Progress Meeting",2,2,42,2,0,0
12895,"Existing Clients",1,25,25,NA,"CHRONICLE","PC5","PBC14","Management","Marketing",21,14,25,14,7,7
12896,"Marketing help and management of YYY ZZZ",3,42,42,NA,"CHRONICLE","PC5","PBC29","Operational","In House Support",35,5.75,42,5.75,29.25,29.25
12897,"Flex Mobile - Subsidy Fund Overtime  (SIP Time)",1,13,13,NA,"CHRONICLE","PC18","PBC33","Development","Enhancement",28,408.34,13,408.34,-380.34,-380.34
12898,"Add Multiple CCY Salary Bandings To Employment Grades",1,42,58,NA,"FINISHED","PC5","PBC51","Development","Enhancement",3.5,6.12,58,6.12,-2.62,-2.62
12899,"YouLink HR: Enhanced Privacy Functionality",1,42,58,NA,"FINISHED","PC5","PBC51","Development","Enhancement",35,13.08,58,13.08,21.92,21.92
12900,"YouLink HR: Override Total Working Hours",1,58,58,NA,"FINISHED","PC5","PBC51","Development","Enhancement",21,10.64,58,10.64,10.36,10.36
12901,"Marketing meeting with YYY ZZZ from CCC",3,42,42,NA,"CHRONICLE","PC5","PBC29","Management","Marketing",3,6,25,3,-3,NA
12901,"Marketing meeting with YYY ZZZ from CCC",3,42,42,NA,"CHRONICLE","PC5","PBC29","Management","Marketing",3,6,42,3,-3,0
12902,"Jquery Grid for Web App",5,53,53,NA,"CHRONICLE","PC5","PBC14","Development","Enhancement",14,19.5,24,12.5,-5.5,NA
12902,"Jquery Grid for Web App",5,53,53,NA,"CHRONICLE","PC5","PBC14","Development","Enhancement",14,19.5,53,7,-5.5,7
12903,"CCC Licence",1,13,13,NA,"CHRONICLE","PC9","PBC62","Development","Support",0.5,2.75,24,2,-2.25,NA
